Squad,NPlayers,Age,Poss,MP,Starts,Min,90s,Gls,Ast,GpA,GmPK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GpAp90,GmPKp90,GpAmPK
CAN,19,26.2,53.0,5,55,450,5.0,11,6,17,9,2,2,14,0,2.2,1.2,3.4,1.8,3.0
CRI,22,29.0,52.8,4,44,360,4.0,6,4,10,6,0,0,8,2,1.5,1.0,2.5,1.5,2.5
SLV,17,26.6,59.8,4,44,360,4.0,6,6,12,6,0,0,7,0,1.5,1.5,3.0,1.5,3.0
GRE,18,25.9,37.0,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
GDL,21,26.4,40.7,3,33,270,3.0,2,2,4,2,0,0,7,3,0.67,0.67,1.33,0.67,1.33
GML,21,26.4,37.7,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
HTI,16,25.7,45.3,3,33,270,3.0,3,2,5,3,0,0,2,1,1.0,0.67,1.67,1.0,1.67
HND,22,28.8,49.3,4,44,360,4.0,7,5,12,7,0,0,7,0,1.75,1.25,3.0,1.75,3.0
JAM,21,27.5,47.8,4,44,360,4.0,4,3,7,4,0,0,8,0,1.0,0.75,1.75,1.0,1.75
MQE,18,30.8,38.0,3,33,270,3.0,3,1,4,2,1,1,6,2,1.0,0.33,1.33,0.67,1.0
MEX,21,28.9,66.2,6,66,570,6.3,9,7,16,8,1,2,11,0,1.42,1.11,2.53,1.26,2.37
PAN,22,28.8,59.0,3,33,270,3.0,8,6,14,6,2,2,3,0,2.67,2.0,4.67,2.0,4.0
QAT,18,26.6,45.4,5,55,450,5.0,12,8,20,10,2,4,2,0,2.4,1.6,4.0,2.0,3.6
SRM,19,28.7,54.7,3,33,270,3.0,3,3,6,3,0,0,7,0,1.0,1.0,2.0,1.0,2.0
TTB,21,27.7,35.7,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
USA,22,23.8,56.0,6,66,570,6.3,10,9,19,10,0,0,4,0,1.58,1.42,3.0,1.58,3.0
